ccle_name,auc_label,canonical_smiles,predicted_auc
HCT116_LARGE_INTESTINE,0,CC(=O)N1c2cc3c(cc2SC1CS(=O)(=O)NCCCCCCCCC(=O)Nc1ccc2c4c(cc(O)c2c1)N(C(=O)OC(C)C)CC4CCCCl)OCC3,0.27640897
HCT116_LARGE_INTESTINE,0,COc1c(F)c(O)c(F)c(-c2nc(C3CCN(Cc4ccc5c(c4)NC(=O)C5)C3)cnc2N2CCOCC2)c1F,0.37924826
HCT116_LARGE_INTESTINE,0,COc1ccc(-n2cc3[nH]nc(NC(=O)c4cnc5ccccn45)c3c2)c(O)c1,0.44821554
HCT116_LARGE_INTESTINE,0,CC(SC1C[n+]2cc(Cl)ccc2CO1)c1ccc2ccccc2n1,0.3267521
HCT116_LARGE_INTESTINE,0,CC(=O)Nc1ccc(C(=O)NN=C(C)c2ccccn2)s1,0.24452133
HCT116_LARGE_INTESTINE,0,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(NC(=O)c1ccccc1)CC2,0.20456271
HCT116_LARGE_INTESTINE,0,COc1cnc2c(c1)C(=O)c1c-2n(CCCN2CCN(C)CC2)c2cc([N+](=O)[O-])ccc12,0.297432
HCT116_LARGE_INTESTINE,0,COc1cnc2c(c1)C(=O)c1c-2n(CCCN2CCN(C)CC2)c2ccc(O[N+](=O)[O-])cc12,0.2438829
HCT116_LARGE_INTESTINE,0,COc1ccc2c(OC)c(COCc3ccc4ccc(O)cc4c3)nc(-c3ccccc3)c2n1,0.32709303
HCT116_LARGE_INTESTINE,0,CCC(=O)NNCc1ccc(OCCNC(=O)OCc2ccc3ccccc3c2N)c(OC)c1,0.41300678
HCT116_LARGE_INTESTINE,0,COc1ccc(CC(NC(=O)C2CC2)C(=O)NCCCNC(=O)C(OC(=O)c2cc(OC)c(OC)c(OC)c2)N2CCSC2c2ccccc2)cc1Br,0.23870704
HCT116_LARGE_INTESTINE,0,Oc1ccc2c3c1CCC1OCC4(O)C(C=C1C=C(C1CC1)C2CO3)C41CC1,0.44832858
HCT116_LARGE_INTESTINE,0,COc1cnc2c(c1)C(=O)c1c-2n(CCCN2CCN(C)CC2)c2ccc(O[N+](=O)[O-])cc12,0.26319417
HCT116_LARGE_INTESTINE,0,CCOc1ccc(C(C=CC=Cc2ccc3[nH]c4cccnc4c3c2)CO)cc1,0.6391972
HCT116_LARGE_INTESTINE,0,CCC1(c2c(C)cccc2OC)COC(c2csc(=O)c3cc4ccccc4n23)O1,0.23938623
HCT116_LARGE_INTESTINE,0,CC(=NNC(=S)N1CCC(O)CC1)c1ccccn1,0.23176952
HCT116_LARGE_INTESTINE,0,COc1ccc(CC(NC(=O)C2CC2)C(=O)NCCCNC(=O)C(OC(=O)c2cc(OC)c(OC)c(OC)c2)C2(C)OC2c2ccccc2)cc1Br,0.2367733
HCT116_LARGE_INTESTINE,0,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(NC(=O)c1ccccc1C)C2,0.1930312
